exercise_name,category,met,calories_per_min_35kg,calories_per_min_36kg,calories_per_min_37kg,calories_per_min_38kg,calories_per_min_39kg,calories_per_min_40kg,calories_per_min_41kg,calories_per_min_42kg,calories_per_min_43kg,calories_per_min_44kg,calories_per_min_45kg,calories_per_min_46kg,calories_per_min_47kg,calories_per_min_48kg,calories_per_min_49kg,calories_per_min_50kg,calories_per_min_51kg,calories_per_min_52kg,calories_per_min_53kg,calories_per_min_54kg,calories_per_min_55kg,calories_per_min_56kg,calories_per_min_57kg,calories_per_min_58kg,calories_per_min_59kg,calories_per_min_60kg,calories_per_min_61kg,calories_per_min_62kg,calories_per_min_63kg,calories_per_min_64kg,calories_per_min_65kg,calories_per_min_66kg,calories_per_min_67kg,calories_per_min_68kg,calories_per_min_69kg,calories_per_min_70kg,calories_per_min_71kg,calories_per_min_72kg,calories_per_min_73kg,calories_per_min_74kg,calories_per_min_75kg,calories_per_min_76kg,calories_per_min_77kg,calories_per_min_78kg,calories_per_min_79kg,calories_per_min_80kg,calories_per_min_81kg,calories_per_min_82kg,calories_per_min_83kg,calories_per_min_84kg,calories_per_min_85kg,calories_per_min_86kg,calories_per_min_87kg,calories_per_min_88kg,calories_per_min_89kg,calories_per_min_90kg,calories_per_min_91kg,calories_per_min_92kg,calories_per_min_93kg,calories_per_min_94kg,calories_per_min_95kg,calories_per_min_96kg,calories_per_min_97kg,calories_per_min_98kg,calories_per_min_99kg,calories_per_min_100kg,calories_per_min_101kg,calories_per_min_102kg,calories_per_min_103kg,calories_per_min_104kg,calories_per_min_105kg,calories_per_min_106kg,calories_per_min_107kg,calories_per_min_108kg,calories_per_min_109kg,calories_per_min_110kg,calories_per_min_111kg,calories_per_min_112kg,calories_per_min_113kg,calories_per_min_114kg,calories_per_min_115kg,calories_per_min_116kg,calories_per_min_117kg,calories_per_min_118kg,calories_per_min_119kg,calories_per_min_120kg,calories_per_min_121kg,calories_per_min_122kg,calories_per_min_123kg,calories_per_min_124kg,calories_per_min_125kg,calories_per_min_126kg,calories_per_min_127kg,calories_per_min_128kg,calories_per_min_129kg,calories_per_min_130kg,calories_per_min_131kg,calories_per_min_132kg,calories_per_min_133kg,calories_per_min_134kg,calories_per_min_135kg,calories_per_min_136kg,calories_per_min_137kg,calories_per_min_138kg,calories_per_min_139kg,calories_per_min_140kg,calories_per_min_141kg,calories_per_min_142kg,calories_per_min_143kg,calories_per_min_144kg,calories_per_min_145kg,calories_per_min_146kg,calories_per_min_147kg,calories_per_min_148kg,calories_per_min_149kg,calories_per_min_150kg
jogging,cardio,7.0,4.9,4.9,4.9,4.9,4.9,4.9,5.0224,5.1448,5.2672,5.3896,5.512,5.6346,5.7572,5.8798,6.0024,6.125,6.2476,6.3702,6.4928,6.6154,6.738,6.8604,6.9828,7.1052,7.2276,7.35,7.4724,7.5948,7.7172,7.8396,7.962,8.0846,8.2072,8.3298,8.4524,8.575,8.6976,8.8202,8.9428,9.0654,9.188,9.3104,9.4328,9.5552,9.6776,9.8,9.9224,10.0448,10.1672,10.2896,10.412,10.5346,10.6572,10.7798,10.9024,11.025,11.1476,11.2702,11.3928,11.5154,11.638,11.7604,11.8828,12.0052,12.1276,12.25,12.3724,12.4948,12.6172,12.7396,12.862,12.9846,13.1072,13.2298,13.3524,13.475,13.5976,13.7202,13.8428,13.9654,14.088,14.2104,14.3328,14.4552,14.5776,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
running,cardio,9.8,6.86,6.86,6.86,6.86,6.86,6.86,7.0316,7.2032,7.3748,7.5464,7.718,7.8894,8.0608,8.2322,8.4036,8.575,8.7464,8.9178,9.0892,9.2606,9.432,9.6036,9.7752,9.9468,10.1184,10.29,10.4616,10.6332,10.8048,10.9764,11.148,11.3194,11.4908,11.6622,11.8336,12.005,12.1764,12.3478,12.5192,12.6906,12.862,13.0336,13.2052,13.3768,13.5484,13.72,13.8916,14.0632,14.2348,14.4064,14.578,14.7494,14.9208,15.0922,15.2636,15.435,15.6066,15.7782,15.9498,16.1214,16.293,16.4644,16.6358,16.8072,16.9786,17.15,17.3216,17.4932,17.6648,17.8364,18.008,18.1794,18.3508,18.5222,18.6936,18.865,19.0364,19.2078,19.3792,19.5506,19.722,19.8936,20.0652,20.2368,20.4084,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58
cycling,cardio,6.8,4.76,4.76,4.76,4.76,4.76,4.76,4.879,4.998,5.117,5.236,5.355,5.474,5.593,5.712,5.831,5.95,6.069,6.188,6.307,6.426,6.545,6.664,6.783,6.902,7.021,7.14,7.259,7.378,7.497,7.616,7.735,7.854,7.973,8.092,8.211,8.33,8.449,8.568,8.687,8.806,8.925,9.044,9.163,9.282,9.401,9.52,9.639,9.758,9.877,9.996,10.115,10.234,10.353,10.472,10.591,10.71,10.829,10.948,11.067,11.186,11.305,11.424,11.543,11.662,11.781,11.9,12.019,12.138,12.257,12.376,12.495,12.614,12.733,12.852,12.971,13.09,13.209,13.328,13.447,13.566,13.685,13.804,13.923,14.042,14.161,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28,14.28
stationary cycling,cardio,7.5,5.25,5.25,5.25,5.25,5.25,5.25,5.3812,5.5124,5.6436,5.7748,5.906,6.0372,6.1684,6.2996,6.4308,6.562,6.6934,6.8248,6.9562,7.0876,7.219,7.3502,7.4814,7.6126,7.7438,7.875,8.0062,8.1374,8.2686,8.3998,8.531,8.6624,8.7938,8.9252,9.0566,9.188,9.3192,9.4504,9.5816,9.7128,9.844,9.9752,10.1064,10.2376,10.3688,10.5,10.6312,10.7624,10.8936,11.0248,11.156,11.2872,11.4184,11.5496,11.6808,11.812,11.9434,12.0748,12.2062,12.3376,12.469,12.6002,12.7314,12.8626,12.9938,13.125,13.2562,13.3874,13.5186,13.6498,13.781,13.9124,14.0438,14.1752,14.3066,14.438,14.5692,14.7004,14.8316,14.9628,15.094,15.2252,15.3564,15.4876,15.6188,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75
rowing,cardio,7.0,4.9,4.9,4.9,4.9,4.9,4.9,5.0224,5.1448,5.2672,5.3896,5.512,5.6346,5.7572,5.8798,6.0024,6.125,6.2476,6.3702,6.4928,6.6154,6.738,6.8604,6.9828,7.1052,7.2276,7.35,7.4724,7.5948,7.7172,7.8396,7.962,8.0846,8.2072,8.3298,8.4524,8.575,8.6976,8.8202,8.9428,9.0654,9.188,9.3104,9.4328,9.5552,9.6776,9.8,9.9224,10.0448,10.1672,10.2896,10.412,10.5346,10.6572,10.7798,10.9024,11.025,11.1476,11.2702,11.3928,11.5154,11.638,11.7604,11.8828,12.0052,12.1276,12.25,12.3724,12.4948,12.6172,12.7396,12.862,12.9846,13.1072,13.2298,13.3524,13.475,13.5976,13.7202,13.8428,13.9654,14.088,14.2104,14.3328,14.4552,14.5776,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
elliptical,cardio,5.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5876,3.6752,3.7628,3.8504,3.938,4.0254,4.1128,4.2002,4.2876,4.375,4.4624,4.5498,4.6372,4.7246,4.812,4.8996,4.9872,5.0748,5.1624,5.25,5.3376,5.4252,5.5128,5.6004,5.688,5.7754,5.8628,5.9502,6.0376,6.125,6.2124,6.2998,6.3872,6.4746,6.562,6.6496,6.7372,6.8248,6.9124,7.0,7.0876,7.1752,7.2628,7.3504,7.438,7.5254,7.6128,7.7002,7.7876,7.875,7.9624,8.0498,8.1372,8.2246,8.312,8.3996,8.4872,8.5748,8.6624,8.75,8.8376,8.9252,9.0128,9.1004,9.188,9.2754,9.3628,9.4502,9.5376,9.625,9.7124,9.7998,9.8872,9.9746,10.062,10.1496,10.2372,10.3248,10.4124,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
stair climbing,cardio,8.8,6.16,6.16,6.16,6.16,6.16,6.16,6.314,6.468,6.622,6.776,6.93,7.084,7.238,7.392,7.546,7.7,7.854,8.008,8.162,8.316,8.47,8.624,8.778,8.932,9.086,9.24,9.394,9.548,9.702,9.856,10.01,10.164,10.318,10.472,10.626,10.78,10.934,11.088,11.242,11.396,11.55,11.704,11.858,12.012,12.166,12.32,12.474,12.628,12.782,12.936,13.09,13.244,13.398,13.552,13.706,13.86,14.014,14.168,14.322,14.476,14.63,14.784,14.938,15.092,15.246,15.4,15.554,15.708,15.862,16.016,16.17,16.324,16.478,16.632,16.786,16.94,17.094,17.248,17.402,17.556,17.71,17.864,18.018,18.172,18.326,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48
jump rope,cardio,10.0,7.0,7.0,7.0,7.0,7.0,7.0,7.175,7.35,7.525,7.7,7.875,8.05,8.225,8.4,8.575,8.75,8.925,9.1,9.275,9.45,9.625,9.8,9.975,10.15,10.325,10.5,10.675,10.85,11.025,11.2,11.375,11.55,11.725,11.9,12.075,12.25,12.425,12.6,12.775,12.95,13.125,13.3,13.475,13.65,13.825,14.0,14.175,14.35,14.525,14.7,14.875,15.05,15.225,15.4,15.575,15.75,15.925,16.1,16.275,16.45,16.625,16.8,16.975,17.15,17.325,17.5,17.675,17.85,18.025,18.2,18.375,18.55,18.725,18.9,19.075,19.25,19.425,19.6,19.775,19.95,20.125,20.3,20.475,20.65,20.825,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
swimming freestyle,cardio,8.0,5.6,5.6,5.6,5.6,5.6,5.6,5.74,5.88,6.02,6.16,6.3,6.44,6.58,6.72,6.86,7.0,7.14,7.28,7.42,7.56,7.7,7.84,7.98,8.12,8.26,8.4,8.54,8.68,8.82,8.96,9.1,9.24,9.38,9.52,9.66,9.8,9.94,10.08,10.22,10.36,10.5,10.64,10.78,10.92,11.06,11.2,11.34,11.48,11.62,11.76,11.9,12.04,12.18,12.32,12.46,12.6,12.74,12.88,13.02,13.16,13.3,13.44,13.58,13.72,13.86,14.0,14.14,14.28,14.42,14.56,14.7,14.84,14.98,15.12,15.26,15.4,15.54,15.68,15.82,15.96,16.1,16.24,16.38,16.52,16.66,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8
swimming breaststroke,cardio,7.0,4.9,4.9,4.9,4.9,4.9,4.9,5.0224,5.1448,5.2672,5.3896,5.512,5.6346,5.7572,5.8798,6.0024,6.125,6.2476,6.3702,6.4928,6.6154,6.738,6.8604,6.9828,7.1052,7.2276,7.35,7.4724,7.5948,7.7172,7.8396,7.962,8.0846,8.2072,8.3298,8.4524,8.575,8.6976,8.8202,8.9428,9.0654,9.188,9.3104,9.4328,9.5552,9.6776,9.8,9.9224,10.0448,10.1672,10.2896,10.412,10.5346,10.6572,10.7798,10.9024,11.025,11.1476,11.2702,11.3928,11.5154,11.638,11.7604,11.8828,12.0052,12.1276,12.25,12.3724,12.4948,12.6172,12.7396,12.862,12.9846,13.1072,13.2298,13.3524,13.475,13.5976,13.7202,13.8428,13.9654,14.088,14.2104,14.3328,14.4552,14.5776,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
